Campaign,Campaign Type,Campaign Status,Budget,Budget type,Networks,Languages,Location,Bid Strategy Type,Max CPC bid limit,Ad rotation,Campaign Goal
OPT | International students,Search,Paused,48.31,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Claude,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | HAI,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Humanitarians AI Fellows,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Mycroft Financial AI,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Claude Basics,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Claude for Education,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Madison,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Behind the Model,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Lyrical Literacy,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | INFO7375 Branding & AI,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Claude Plugins,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Brutalist (Film as Code),Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
"LT | Extending Claude — Skills, Plugins & Connectors",Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Causal Couture,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Claude Code,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | Lyrical Literacy (Songs for Pre-School Kids),Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | React,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | AI+1,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | RAMAN Effect,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
LT | NeuroVEP,Search,Paused,12.08,Daily,Google search,en,United States;India;China;South Korea;Canada;Taiwan;Vietnam;Nigeria;Bangladesh;Brazil;Nepal;Japan;Mexico;Saudi Arabia;Germany;United Kingdom;Colombia;Pakistan;Ghana;Turkey;Indonesia;Kenya;France;Spain;Italy,Maximize clicks,2.00,Optimize for clicks,Website traffic
