Campaign,Sitelink text,Final URL,Description line 1,Description line 2
OPT | International students,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
OPT | International students,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
OPT | International students,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
OPT | International students,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Claude,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Claude,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Claude,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Claude,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | HAI,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | HAI,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | HAI,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | HAI,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Humanitarians AI Fellows,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Humanitarians AI Fellows,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Humanitarians AI Fellows,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Humanitarians AI Fellows,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Mycroft Financial AI,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Mycroft Financial AI,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Mycroft Financial AI,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Mycroft Financial AI,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Claude Basics,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Claude Basics,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Claude Basics,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Claude Basics,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Claude for Education,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Claude for Education,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Claude for Education,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Claude for Education,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Madison,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Madison,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Madison,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Madison,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Behind the Model,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Behind the Model,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Behind the Model,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Behind the Model,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Lyrical Literacy,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Lyrical Literacy,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Lyrical Literacy,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Lyrical Literacy,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | INFO7375 Branding & AI,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | INFO7375 Branding & AI,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | INFO7375 Branding & AI,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | INFO7375 Branding & AI,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Claude Plugins,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Claude Plugins,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Claude Plugins,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Claude Plugins,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Brutalist (Film as Code),Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Brutalist (Film as Code),OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Brutalist (Film as Code),80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Brutalist (Film as Code),All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
"LT | Extending Claude — Skills, Plugins & Connectors",Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
