Campaign,Ad Group,Keyword,Criterion Type,Status
Humanitarians AI,AI Literacy & Fluency,prompt engineering guide,Phrase,Enabled
AI Literacy,AI Literacy Program,will ai replace my job,Phrase,Enabled
AI Literacy,AI Literacy Program,how to use ai at work,Phrase,Enabled
AI Literacy,AI Literacy Program,ai to improve communication skills,Phrase,Enabled
AI Literacy,Ai Fluency,ai finance courses,Phrase,Enabled
AI Literacy,Ai Fluency,ai in finance courses,Phrase,Enabled
AI Literacy,Ai Fluency,ai for business course,Phrase,Enabled
AI Literacy,Ai Fluency,ai in healthcare course,Phrase,Enabled
AI Literacy,Ai Fluency,ai capstone project,Phrase,Enabled
AI Literacy,Ai Fluency,ai for finance course,Phrase,Enabled
AI Literacy,Ai Fluency,ai healthcare course,Phrase,Enabled
AI Literacy,Ai Fluency,ai for healthcare course,Phrase,Enabled
AI Literacy,Ai Fluency,ethical ai course,Phrase,Enabled
Fellows,OPT,opt volunteer work,Phrase,Enabled
Fellows,OPT,opt volunteer opportunities,Phrase,Enabled
Fellows,OPT,unpaid volunteer opt,Phrase,Enabled
Fellows,OPT,f1 opt volunteer work,Phrase,Enabled
Fellows,OPT,volunteer work on opt,Phrase,Enabled
Fellows,OPT,stem opt volunteer work,Phrase,Enabled
Fellows,OPT,volunteer work for opt,Phrase,Enabled
Fellows,OPT,volunteer during opt,Phrase,Enabled
Fellows,OPT,opt volunteer requirements,Phrase,Enabled
Humanitarians AI,Lyrical Literacy,educational songs for toddlers,Phrase,Enabled
Humanitarians AI,Lyrical Literacy,music for brain development,Phrase,Enabled
Humanitarians AI,Lyrical Literacy,songs for language learning,Phrase,Enabled
Humanitarians AI,Lyrical Literacy,songs for adhd focus,Phrase,Enabled
Humanitarians AI,Lyrical Literacy,music for reading comprehension,Phrase,Enabled
